Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,2,Allergic-Rhinitis-In-Season,Yes,2,72
Human,2,Allergic-Rhinitis-In-Season,Yes,3,46
Human,2,Allergic-Rhinitis-In-Season,Yes,4,22
Human,2,Allergic-Rhinitis-In-Season,Yes,5,18
Human,2,Allergic-Rhinitis-In-Season,Yes,6,15
Human,2,Allergic-Rhinitis-In-Season,Yes,7,8
Human,2,Allergic-Rhinitis-In-Season,Yes,8,9
Human,2,Allergic-Rhinitis-In-Season,Yes,9,2
Human,2,Allergic-Rhinitis-In-Season,Yes,10,2
Human,2,Allergic-Rhinitis-In-Season,Yes,>10,21
Human,3,Allergic-Rhinitis-In-Season,No,2,2
Human,3,Allergic-Rhinitis-In-Season,No,3,458
Human,3,Allergic-Rhinitis-In-Season,No,4,377
Human,3,Allergic-Rhinitis-In-Season,No,5,238
Human,3,Allergic-Rhinitis-In-Season,No,6,174
Human,3,Allergic-Rhinitis-In-Season,No,7,135
Human,3,Allergic-Rhinitis-In-Season,No,8,111
Human,3,Allergic-Rhinitis-In-Season,No,9,74
Human,3,Allergic-Rhinitis-In-Season,No,10,73
Human,3,Allergic-Rhinitis-In-Season,No,>10,716
Human,3,Allergic-Rhinitis-In-Season,Yes,3,13
Human,3,Allergic-Rhinitis-In-Season,Yes,4,11
Human,3,Allergic-Rhinitis-In-Season,Yes,5,13
Human,3,Allergic-Rhinitis-In-Season,Yes,6,5
Human,3,Allergic-Rhinitis-In-Season,Yes,7,8
Human,3,Allergic-Rhinitis-In-Season,Yes,8,7
Human,3,Allergic-Rhinitis-In-Season,Yes,9,4
Human,3,Allergic-Rhinitis-In-Season,Yes,10,2
Human,3,Allergic-Rhinitis-In-Season,Yes,>10,33
Human,4,Allergic-Rhinitis-In-Season,No,4,119
Human,4,Allergic-Rhinitis-In-Season,No,5,109
Human,4,Allergic-Rhinitis-In-Season,No,6,130
Human,4,Allergic-Rhinitis-In-Season,No,7,124
Human,4,Allergic-Rhinitis-In-Season,No,8,98
Human,4,Allergic-Rhinitis-In-Season,No,9,83
Human,4,Allergic-Rhinitis-In-Season,No,10,95
Human,4,Allergic-Rhinitis-In-Season,No,>10,1089
Human,4,Allergic-Rhinitis-In-Season,Yes,4,3
Human,4,Allergic-Rhinitis-In-Season,Yes,5,6
Human,4,Allergic-Rhinitis-In-Season,Yes,6,8
Human,4,Allergic-Rhinitis-In-Season,Yes,7,8
Human,4,Allergic-Rhinitis-In-Season,Yes,8,2
Human,4,Allergic-Rhinitis-In-Season,Yes,9,4
Human,4,Allergic-Rhinitis-In-Season,Yes,10,4
Human,4,Allergic-Rhinitis-In-Season,Yes,>10,43
Human,5,Allergic-Rhinitis-In-Season,No,5,32
Human,5,Allergic-Rhinitis-In-Season,No,6,56
Human,5,Allergic-Rhinitis-In-Season,No,7,71
Human,5,Allergic-Rhinitis-In-Season,No,8,57
Human,5,Allergic-Rhinitis-In-Season,No,9,58
Human,5,Allergic-Rhinitis-In-Season,No,10,68
Human,5,Allergic-Rhinitis-In-Season,No,>10,1239
Human,5,Allergic-Rhinitis-In-Season,Yes,5,2
Human,5,Allergic-Rhinitis-In-Season,Yes,6,1
Human,5,Allergic-Rhinitis-In-Season,Yes,7,7
Human,5,Allergic-Rhinitis-In-Season,Yes,8,4
Human,5,Allergic-Rhinitis-In-Season,Yes,9,2
Human,5,Allergic-Rhinitis-In-Season,Yes,10,4
Human,5,Allergic-Rhinitis-In-Season,Yes,>10,42
Human,6,Allergic-Rhinitis-In-Season,No,6,8
Human,6,Allergic-Rhinitis-In-Season,No,7,16
Human,6,Allergic-Rhinitis-In-Season,No,8,18
Human,6,Allergic-Rhinitis-In-Season,No,9,30
Human,6,Allergic-Rhinitis-In-Season,No,10,34
Human,6,Allergic-Rhinitis-In-Season,No,>10,1201
Human,6,Allergic-Rhinitis-In-Season,Yes,6,1
Human,6,Allergic-Rhinitis-In-Season,Yes,7,2
Human,6,Allergic-Rhinitis-In-Season,Yes,9,1
Human,6,Allergic-Rhinitis-In-Season,Yes,10,1
Human,6,Allergic-Rhinitis-In-Season,Yes,>10,40
Human,7,Allergic-Rhinitis-In-Season,No,7,1
Human,7,Allergic-Rhinitis-In-Season,No,8,3
Human,7,Allergic-Rhinitis-In-Season,No,9,5
Human,7,Allergic-Rhinitis-In-Season,No,10,12
Human,7,Allergic-Rhinitis-In-Season,No,>10,1226
Human,7,Allergic-Rhinitis-In-Season,Yes,>10,38
Human,8,Allergic-Rhinitis-In-Season,No,10,2
Human,8,Allergic-Rhinitis-In-Season,No,>10,1185
Human,8,Allergic-Rhinitis-In-Season,Yes,>10,35
Human,9,Allergic-Rhinitis-In-Season,No,>10,1026
Human,9,Allergic-Rhinitis-In-Season,Yes,>10,45
Human,10,Allergic-Rhinitis-In-Season,No,>10,971
Human,10,Allergic-Rhinitis-In-Season,Yes,>10,39
Human,11,Allergic-Rhinitis-In-Season,No,>10,934
Human,11,Allergic-Rhinitis-In-Season,Yes,>10,27
Human,12,Allergic-Rhinitis-In-Season,No,>10,918
Human,12,Allergic-Rhinitis-In-Season,Yes,>10,39
Human,13,Allergic-Rhinitis-In-Season,No,>10,899
Human,13,Allergic-Rhinitis-In-Season,Yes,>10,29
Human,14,Allergic-Rhinitis-In-Season,No,>10,950
Human,14,Allergic-Rhinitis-In-Season,Yes,>10,38
Human,15,Allergic-Rhinitis-In-Season,No,>10,964
Human,15,Allergic-Rhinitis-In-Season,Yes,>10,43
Human,16,Allergic-Rhinitis-In-Season,No,>10,1021
Human,16,Allergic-Rhinitis-In-Season,Yes,>10,18
Human,17,Allergic-Rhinitis-In-Season,No,>10,1000
Human,17,Allergic-Rhinitis-In-Season,Yes,>10,39
Human,18,Allergic-Rhinitis-In-Season,No,>10,1079
Human,18,Allergic-Rhinitis-In-Season,Yes,>10,42
Human,19,Allergic-Rhinitis-In-Season,No,>10,1189
Human,19,Allergic-Rhinitis-In-Season,Yes,>10,52
Human,20,Allergic-Rhinitis-In-Season,No,>10,1276
Human,20,Allergic-Rhinitis-In-Season,Yes,>10,80
Human,21,Allergic-Rhinitis-In-Season,No,>10,1370
Human,21,Allergic-Rhinitis-In-Season,Yes,>10,174
Human,22,Allergic-Rhinitis-In-Season,No,>10,875
Human,22,Allergic-Rhinitis-In-Season,Yes,>10,149
Human,23,Allergic-Rhinitis-In-Season,No,>10,308
Human,23,Allergic-Rhinitis-In-Season,Yes,>10,83
Human,24,Allergic-Rhinitis-In-Season,No,>10,46
Human,24,Allergic-Rhinitis-In-Season,Yes,>10,20
Human,1,Allergic-Rhinitis-Out-Of-Season,No,1,21016
Human,1,Allergic-Rhinitis-Out-Of-Season,No,2,2343
Human,1,Allergic-Rhinitis-Out-Of-Season,No,3,639
Human,1,Allergic-Rhinitis-Out-Of-Season,No,4,269
Human,1,Allergic-Rhinitis-Out-Of-Season,No,5,132
Human,1,Allergic-Rhinitis-Out-Of-Season,No,6,66
Human,1,Allergic-Rhinitis-Out-Of-Season,No,7,35
Human,1,Allergic-Rhinitis-Out-Of-Season,No,8,41
Human,1,Allergic-Rhinitis-Out-Of-Season,No,9,15
Human,1,Allergic-Rhinitis-Out-Of-Season,No,10,12
Human,1,Allergic-Rhinitis-Out-Of-Season,No,>10,52
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,1,699
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,2,108
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,3,40
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,4,9
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,5,5
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,6,5
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,7,2
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,8,2
Human,1,Allergic-Rhinitis-Out-Of-Season,Yes,10,3
