Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,2,CMV/EBV,No,8,40866
Human,2,CMV/EBV,No,9,31879
Human,2,CMV/EBV,No,10,25975
Human,2,CMV/EBV,No,>10,256616
Human,2,CMV/EBV,Yes,2,23780
Human,2,CMV/EBV,Yes,3,10517
Human,2,CMV/EBV,Yes,4,5948
Human,2,CMV/EBV,Yes,5,3704
Human,2,CMV/EBV,Yes,6,2363
Human,2,CMV/EBV,Yes,7,1812
Human,2,CMV/EBV,Yes,8,1429
Human,2,CMV/EBV,Yes,9,1120
Human,2,CMV/EBV,Yes,10,987
Human,2,CMV/EBV,Yes,>10,13025
Human,3,CMV/EBV,No,1,1
Human,3,CMV/EBV,No,2,96
Human,3,CMV/EBV,No,3,231954
Human,3,CMV/EBV,No,4,174738
Human,3,CMV/EBV,No,5,123157
Human,3,CMV/EBV,No,6,89194
Human,3,CMV/EBV,No,7,66321
Human,3,CMV/EBV,No,8,51181
Human,3,CMV/EBV,No,9,40540
Human,3,CMV/EBV,No,10,32853
Human,3,CMV/EBV,No,>10,294622
Human,3,CMV/EBV,Yes,3,6295
Human,3,CMV/EBV,Yes,4,5109
Human,3,CMV/EBV,Yes,5,3972
Human,3,CMV/EBV,Yes,6,3047
Human,3,CMV/EBV,Yes,7,2251
Human,3,CMV/EBV,Yes,8,1825
Human,3,CMV/EBV,Yes,9,1490
Human,3,CMV/EBV,Yes,10,1224
Human,3,CMV/EBV,Yes,>10,13003
Human,4,CMV/EBV,No,2,4
Human,4,CMV/EBV,No,3,19
Human,4,CMV/EBV,No,4,59561
Human,4,CMV/EBV,No,5,68997
Human,4,CMV/EBV,No,6,63332
Human,4,CMV/EBV,No,7,55381
Human,4,CMV/EBV,No,8,47117
Human,4,CMV/EBV,No,9,40249
Human,4,CMV/EBV,No,10,34375
Human,4,CMV/EBV,No,>10,368297
Human,4,CMV/EBV,Yes,4,1516
Human,4,CMV/EBV,Yes,5,2017
Human,4,CMV/EBV,Yes,6,1965
Human,4,CMV/EBV,Yes,7,1834
Human,4,CMV/EBV,Yes,8,1586
Human,4,CMV/EBV,Yes,9,1355
Human,4,CMV/EBV,Yes,10,1220
Human,4,CMV/EBV,Yes,>10,14778
Human,5,CMV/EBV,No,4,4
Human,5,CMV/EBV,No,5,14543
Human,5,CMV/EBV,No,6,23386
Human,5,CMV/EBV,No,7,26829
Human,5,CMV/EBV,No,8,27528
Human,5,CMV/EBV,No,9,26834
Human,5,CMV/EBV,No,10,24839
Human,5,CMV/EBV,No,>10,385290
Human,5,CMV/EBV,Yes,5,337
Human,5,CMV/EBV,Yes,6,628
Human,5,CMV/EBV,Yes,7,804
Human,5,CMV/EBV,Yes,8,798
Human,5,CMV/EBV,Yes,9,817
Human,5,CMV/EBV,Yes,10,836
Human,5,CMV/EBV,Yes,>10,15042
Human,6,CMV/EBV,No,5,1
Human,6,CMV/EBV,No,6,3162
Human,6,CMV/EBV,No,7,6662
Human,6,CMV/EBV,No,8,9505
Human,6,CMV/EBV,No,9,11493
Human,6,CMV/EBV,No,10,12308
Human,6,CMV/EBV,No,>10,341824
Human,6,CMV/EBV,Yes,6,74
Human,6,CMV/EBV,Yes,7,143
Human,6,CMV/EBV,Yes,8,233
Human,6,CMV/EBV,Yes,9,288
Human,6,CMV/EBV,Yes,10,359
Human,6,CMV/EBV,Yes,>10,13070
Human,7,CMV/EBV,No,7,651
Human,7,CMV/EBV,No,8,1775
Human,7,CMV/EBV,No,9,2868
Human,7,CMV/EBV,No,10,3949
Human,7,CMV/EBV,No,>10,280220
Human,7,CMV/EBV,Yes,7,12
Human,7,CMV/EBV,Yes,8,34
Human,7,CMV/EBV,Yes,9,64
Human,7,CMV/EBV,Yes,10,76
Human,7,CMV/EBV,Yes,>10,10637
Human,8,CMV/EBV,No,8,120
Human,8,CMV/EBV,No,9,365
Human,8,CMV/EBV,No,10,731
Human,8,CMV/EBV,No,>10,222840
Human,8,CMV/EBV,Yes,8,2
Human,8,CMV/EBV,Yes,9,9
Human,8,CMV/EBV,Yes,10,10
Human,8,CMV/EBV,Yes,>10,8074
Human,9,CMV/EBV,No,9,13
Human,9,CMV/EBV,No,10,72
Human,9,CMV/EBV,No,>10,175019
Human,9,CMV/EBV,Yes,>10,6410
Human,10,CMV/EBV,No,10,5
Human,10,CMV/EBV,No,>10,137397
Human,10,CMV/EBV,Yes,>10,5006
Human,11,CMV/EBV,No,>10,107988
Human,11,CMV/EBV,Yes,>10,3867
Human,12,CMV/EBV,No,>10,82969
Human,12,CMV/EBV,Yes,>10,3022
Human,13,CMV/EBV,No,>10,62175
Human,13,CMV/EBV,Yes,>10,2449
Human,14,CMV/EBV,No,>10,46526
Human,14,CMV/EBV,Yes,>10,1932
Human,15,CMV/EBV,No,>10,34999
Human,15,CMV/EBV,Yes,>10,1607
Human,16,CMV/EBV,No,>10,26465
Human,16,CMV/EBV,Yes,>10,1412
Human,17,CMV/EBV,No,>10,20235
Human,17,CMV/EBV,Yes,>10,1178
Human,18,CMV/EBV,No,>10,14720
Human,18,CMV/EBV,Yes,>10,845
Human,19,CMV/EBV,No,>10,11205
Human,19,CMV/EBV,Yes,>10,757
Human,20,CMV/EBV,No,>10,7818
Human,20,CMV/EBV,Yes,>10,717
Human,21,CMV/EBV,No,>10,3533
Human,21,CMV/EBV,Yes,>10,426
Human,22,CMV/EBV,No,>10,1262
Human,22,CMV/EBV,Yes,>10,218
Human,23,CMV/EBV,No,>10,329
Human,23,CMV/EBV,Yes,>10,90
Human,24,CMV/EBV,No,>10,46
Human,24,CMV/EBV,Yes,>10,20
Human,1,Dengue,No,1,440955
Human,1,Dengue,No,2,72907
Human,1,Dengue,No,3,17182
Human,1,Dengue,No,4,5072
Human,1,Dengue,No,5,1884
Human,1,Dengue,No,6,885
Human,1,Dengue,No,7,492
Human,1,Dengue,No,8,314
Human,1,Dengue,No,9,187
Human,1,Dengue,No,10,131
Human,1,Dengue,No,>10,394
Human,1,Dengue,Yes,1,23316
Human,1,Dengue,Yes,2,5498
Human,1,Dengue,Yes,3,1549
Human,1,Dengue,Yes,4,501
Human,1,Dengue,Yes,5,212
Human,1,Dengue,Yes,6,108
Human,1,Dengue,Yes,7,41
Human,1,Dengue,Yes,8,39
Human,1,Dengue,Yes,9,19
Human,1,Dengue,Yes,10,12
Human,1,Dengue,Yes,>10,59
Human,2,Dengue,No,1,36
Human,2,Dengue,No,2,17836
Human,2,Dengue,No,3,8993
Human,2,Dengue,No,4,4683
Human,2,Dengue,No,5,2679
Human,2,Dengue,No,6,1653
Human,2,Dengue,No,7,1089
Human,2,Dengue,No,8,725
Human,2,Dengue,No,9,573
Human,2,Dengue,No,10,412
Human,2,Dengue,No,>10,3478
Human,2,Dengue,Yes,1,2
Human,2,Dengue,Yes,2,1632
Human,2,Dengue,Yes,3,969
Human,2,Dengue,Yes,4,555
Human,2,Dengue,Yes,5,311
Human,2,Dengue,Yes,6,202
Human,2,Dengue,Yes,7,137
Human,2,Dengue,Yes,8,91
Human,2,Dengue,Yes,9,84
Human,2,Dengue,Yes,10,66
Human,2,Dengue,Yes,>10,369
Human,3,Dengue,No,1,1
Human,3,Dengue,No,2,3
Human,3,Dengue,No,3,4141
Human,3,Dengue,No,4,3712
Human,3,Dengue,No,5,2756
Human,3,Dengue,No,6,2053
Human,3,Dengue,No,7,1614
Human,3,Dengue,No,8,1209
Human,3,Dengue,No,9,934
Human,3,Dengue,No,10,713
Human,3,Dengue,No,>10,5858
Human,3,Dengue,Yes,3,400
Human,3,Dengue,Yes,4,366
Human,3,Dengue,Yes,5,323
Human,3,Dengue,Yes,6,259
Human,3,Dengue,Yes,7,193
Human,3,Dengue,Yes,8,148
Human,3,Dengue,Yes,9,127
Human,3,Dengue,Yes,10,109
Human,3,Dengue,Yes,>10,724
Human,4,Dengue,No,3,2
Human,4,Dengue,No,4,1113
Human,4,Dengue,No,5,1498
Human,4,Dengue,No,6,1454
Human,4,Dengue,No,7,1265
Human,4,Dengue,No,8,1150
Human,4,Dengue,No,9,981
Human,4,Dengue,No,10,892
Human,4,Dengue,No,>10,8833
Human,4,Dengue,Yes,4,97
Human,4,Dengue,Yes,5,141
Human,4,Dengue,Yes,6,151
Human,4,Dengue,Yes,7,142
Human,4,Dengue,Yes,8,124
Human,4,Dengue,Yes,9,105
Human,4,Dengue,Yes,10,89
Human,4,Dengue,Yes,>10,1041
Human,5,Dengue,No,4,1
Human,5,Dengue,No,5,299
Human,5,Dengue,No,6,533
Human,5,Dengue,No,7,589
Human,5,Dengue,No,8,658
Human,5,Dengue,No,9,666
Human,5,Dengue,No,10,636
Human,5,Dengue,No,>10,10808
Human,5,Dengue,Yes,5,17
Human,5,Dengue,Yes,6,28
Human,5,Dengue,Yes,7,63
Human,5,Dengue,Yes,8,61
Human,5,Dengue,Yes,9,63
Human,5,Dengue,Yes,10,71
Human,5,Dengue,Yes,>10,1254
Human,6,Dengue,No,6,67
Human,6,Dengue,No,7,150
Human,6,Dengue,No,8,228
Human,6,Dengue,No,9,285
Human,6,Dengue,No,10,291
Human,6,Dengue,No,>10,11611
Human,6,Dengue,Yes,6,1
Human,6,Dengue,Yes,7,11
Human,6,Dengue,Yes,8,24
Human,6,Dengue,Yes,9,16
Human,6,Dengue,Yes,10,24
Human,6,Dengue,Yes,>10,1219
Human,7,Dengue,No,7,16
Human,7,Dengue,No,8,28
Human,7,Dengue,No,9,66
Human,7,Dengue,No,10,83
Human,7,Dengue,No,>10,11733
Human,7,Dengue,Yes,8,1
Human,7,Dengue,Yes,9,2
Human,7,Dengue,Yes,10,12
Human,7,Dengue,Yes,>10,1084
Human,8,Dengue,No,8,5
Human,8,Dengue,No,9,6
Human,8,Dengue,No,10,27
Human,8,Dengue,No,>10,10619
Human,8,Dengue,Yes,10,3
Human,8,Dengue,Yes,>10,976
Human,9,Dengue,No,10,1
Human,9,Dengue,No,>10,9841
Human,9,Dengue,Yes,>10,901
Human,10,Dengue,No,>10,9113
Human,10,Dengue,Yes,>10,829
Human,11,Dengue,No,>10,8756
Human,11,Dengue,Yes,>10,663
Human,12,Dengue,No,>10,8528
Human,12,Dengue,Yes,>10,609
Human,13,Dengue,No,>10,8281
Human,13,Dengue,Yes,>10,563
Human,14,Dengue,No,>10,7968
Human,14,Dengue,Yes,>10,480
Human,15,Dengue,No,>10,8202
Human,15,Dengue,Yes,>10,498
Human,16,Dengue,No,>10,7875
Human,16,Dengue,Yes,>10,455
Human,17,Dengue,No,>10,7731
Human,17,Dengue,Yes,>10,502
Human,18,Dengue,No,>10,7872
Human,18,Dengue,Yes,>10,476
Human,19,Dengue,No,>10,7503
Human,19,Dengue,Yes,>10,503
Human,20,Dengue,No,>10,6823
Human,20,Dengue,Yes,>10,657
Human,21,Dengue,No,>10,3342
Human,21,Dengue,Yes,>10,407
Human,22,Dengue,No,>10,1242
Human,22,Dengue,Yes,>10,217
Human,23,Dengue,No,>10,329
Human,23,Dengue,Yes,>10,90
Human,24,Dengue,No,>10,46
Human,24,Dengue,Yes,>10,20
Human,1,EBV,No,1,7035055
Human,1,EBV,No,2,291026
Human,1,EBV,No,3,91294
Human,1,EBV,No,4,44347
Human,1,EBV,No,5,26192
Human,1,EBV,No,6,17224
Human,1,EBV,No,7,12757
Human,1,EBV,No,8,9670
Human,1,EBV,No,9,7827
Human,1,EBV,No,10,6333
Human,1,EBV,No,>10,77302
Human,1,EBV,Yes,1,11590
Human,1,EBV,Yes,2,1931
Human,1,EBV,Yes,3,859
Human,1,EBV,Yes,4,556
Human,1,EBV,Yes,5,371
Human,1,EBV,Yes,6,339
Human,1,EBV,Yes,7,247
Human,1,EBV,Yes,8,229
Human,1,EBV,Yes,9,170
Human,1,EBV,Yes,10,156
Human,1,EBV,Yes,>10,2485
Human,2,EBV,No,1,2318
Human,2,EBV,No,2,238277
Human,2,EBV,No,3,88887
Human,2,EBV,No,4,44107
Human,2,EBV,No,5,26129
Human,2,EBV,No,6,17102
Human,2,EBV,No,7,11989
Human,2,EBV,No,8,8947
Human,2,EBV,No,9,6662
Human,2,EBV,No,10,5304
Human,2,EBV,No,>10,49067
Human,2,EBV,Yes,2,4532
Human,2,EBV,Yes,3,1735
Human,2,EBV,Yes,4,970
Human,2,EBV,Yes,5,559
Human,2,EBV,Yes,6,347
Human,2,EBV,Yes,7,253
Human,2,EBV,Yes,8,181
Human,2,EBV,Yes,9,172
Human,2,EBV,Yes,10,124
Human,2,EBV,Yes,>10,1506
Human,3,EBV,No,2,51
Human,3,EBV,No,3,48435
Human,3,EBV,No,4,33899
Human,3,EBV,No,5,22718
Human,3,EBV,No,6,15461
Human,3,EBV,No,7,11342
Human,3,EBV,No,8,8446
Human,3,EBV,No,9,6758
Human,3,EBV,No,10,5108
Human,3,EBV,No,>10,40095
Human,3,EBV,Yes,3,1663
Human,3,EBV,Yes,4,1258
Human,3,EBV,Yes,5,1015
Human,3,EBV,Yes,6,667
Human,3,EBV,Yes,7,512
Human,3,EBV,Yes,8,387
Human,3,EBV,Yes,9,306
Human,3,EBV,Yes,10,273
Human,3,EBV,Yes,>10,1903
Human,4,EBV,No,3,6
Human,4,EBV,No,4,13522
Human,4,EBV,No,5,14666
Human,4,EBV,No,6,12821
Human,4,EBV,No,7,10820
Human,4,EBV,No,8,8770
Human,4,EBV,No,9,7207
Human,4,EBV,No,10,6020
Human,4,EBV,No,>10,52516
Human,4,EBV,Yes,4,442
Human,4,EBV,Yes,5,559
Human,4,EBV,Yes,6,544
Human,4,EBV,Yes,7,461
Human,4,EBV,Yes,8,436
Human,4,EBV,Yes,9,320
Human,4,EBV,Yes,10,279
Human,4,EBV,Yes,>10,2694
Human,5,EBV,No,4,2
Human,5,EBV,No,5,3554
Human,5,EBV,No,6,5467
Human,5,EBV,No,7,6069
Human,5,EBV,No,8,5932
Human,5,EBV,No,9,5683
Human,5,EBV,No,10,5348
Human,5,EBV,No,>10,62535
Human,5,EBV,Yes,5,117
Human,5,EBV,Yes,6,189
Human,5,EBV,Yes,7,235
Human,5,EBV,Yes,8,244
Human,5,EBV,Yes,9,253
Human,5,EBV,Yes,10,234
Human,5,EBV,Yes,>10,3085
Human,6,EBV,No,5,1
Human,6,EBV,No,6,931
Human,6,EBV,No,7,1723
Human,6,EBV,No,8,2435
Human,6,EBV,No,9,2847
Human,6,EBV,No,10,3009
Human,6,EBV,No,>10,66275
Human,6,EBV,Yes,6,29
Human,6,EBV,Yes,7,50
Human,6,EBV,Yes,8,90
Human,6,EBV,Yes,9,106
Human,6,EBV,Yes,10,123
Human,6,EBV,Yes,>10,2967
Human,7,EBV,No,7,222
Human,7,EBV,No,8,512
Human,7,EBV,No,9,837
Human,7,EBV,No,10,1119
Human,7,EBV,No,>10,63159
Human,7,EBV,Yes,7,4
Human,7,EBV,Yes,8,21
Human,7,EBV,Yes,9,23
Human,7,EBV,Yes,10,20
Human,7,EBV,Yes,>10,2649
Human,8,EBV,No,8,43
Human,8,EBV,No,9,109
Human,8,EBV,No,10,230
Human,8,EBV,No,>10,55943
Human,8,EBV,Yes,8,1
Human,8,EBV,Yes,9,4
Human,8,EBV,Yes,10,3
Human,8,EBV,Yes,>10,2189
Human,9,EBV,No,9,9
Human,9,EBV,No,10,37
Human,9,EBV,No,>10,48335
Human,9,EBV,Yes,>10,1808
Human,10,EBV,No,10,3
Human,10,EBV,No,>10,42172
Human,10,EBV,Yes,>10,1535
Human,11,EBV,No,>10,37775
Human,11,EBV,Yes,>10,1338
Human,12,EBV,No,>10,34149
Human,12,EBV,Yes,>10,1239
Human,13,EBV,No,>10,29386
Human,13,EBV,Yes,>10,1139
Human,14,EBV,No,>10,25153
Human,14,EBV,Yes,>10,962
Human,15,EBV,No,>10,20961
Human,15,EBV,Yes,>10,948
Human,16,EBV,No,>10,17997
Human,16,EBV,Yes,>10,974
Human,17,EBV,No,>10,15106
Human,17,EBV,Yes,>10,846
Human,18,EBV,No,>10,11803
Human,18,EBV,Yes,>10,668
Human,19,EBV,No,>10,9806
Human,19,EBV,Yes,>10,673
Human,20,EBV,No,>10,7411
Human,20,EBV,Yes,>10,682
Human,21,EBV,No,>10,3457
Human,21,EBV,Yes,>10,422
Human,22,EBV,No,>10,1238
Human,22,EBV,Yes,>10,215
Human,23,EBV,No,>10,329
Human,23,EBV,Yes,>10,90
Human,24,EBV,No,>10,46
Human,24,EBV,Yes,>10,20
Human,1,Ebola,No,1,9658191
Human,1,Ebola,No,2,1102351
Human,1,Ebola,No,3,404661
Human,1,Ebola,No,4,208938
Human,1,Ebola,No,5,136129
Human,1,Ebola,No,6,100344
Human,1,Ebola,No,7,78997
Human,1,Ebola,No,8,64711
Human,1,Ebola,No,9,54341
Human,1,Ebola,No,10,46393
Human,1,Ebola,No,>10,493575
Human,1,Ebola,Yes,1,214192
Human,1,Ebola,Yes,2,42561
Human,1,Ebola,Yes,3,16254
Human,1,Ebola,Yes,4,8288
Human,1,Ebola,Yes,5,5532
Human,1,Ebola,Yes,6,4174
Human,1,Ebola,Yes,7,3430
Human,1,Ebola,Yes,8,2882
Human,1,Ebola,Yes,9,2429
Human,1,Ebola,Yes,10,2098
Human,1,Ebola,Yes,>10,24907
Human,2,Ebola,No,1,379
Human,2,Ebola,No,2,447842
Human,2,Ebola,No,3,183241
Human,2,Ebola,No,4,95125
Human,2,Ebola,No,5,58117
Human,2,Ebola,No,6,38673
Human,2,Ebola,No,7,27102
Human,2,Ebola,No,8,20813
Human,2,Ebola,No,9,16168
Human,2,Ebola,No,10,12945
Human,2,Ebola,No,>10,120199
Human,2,Ebola,Yes,2,14992
Human,2,Ebola,Yes,3,8182
Human,2,Ebola,Yes,4,5103
Human,2,Ebola,Yes,5,3207
Human,2,Ebola,Yes,6,2285
Human,2,Ebola,Yes,7,1571
Human,2,Ebola,Yes,8,1166
Human,2,Ebola,Yes,9,917
Human,2,Ebola,Yes,10,749
Human,2,Ebola,Yes,>10,7747
Human,3,Ebola,No,1,1
Human,3,Ebola,No,2,102
Human,3,Ebola,No,3,116455
Human,3,Ebola,No,4,89007
Human,3,Ebola,No,5,64268
Human,3,Ebola,No,6,47865
Human,3,Ebola,No,7,36419
Human,3,Ebola,No,8,28679
Human,3,Ebola,No,9,22898
Human,3,Ebola,No,10,18700
Human,3,Ebola,No,>10,167180
Human,3,Ebola,Yes,3,3498
Human,3,Ebola,Yes,4,3329
Human,3,Ebola,Yes,5,2730
Human,3,Ebola,Yes,6,2214
Human,3,Ebola,Yes,7,1873
Human,3,Ebola,Yes,8,1441
Human,3,Ebola,Yes,9,1167
Human,3,Ebola,Yes,10,930
Human,3,Ebola,Yes,>10,9392
Human,4,Ebola,No,2,1
Human,4,Ebola,No,3,29
Human,4,Ebola,No,4,32389
Human,4,Ebola,No,5,37379
Human,4,Ebola,No,6,34566
Human,4,Ebola,No,7,30373
Human,4,Ebola,No,8,26409
Human,4,Ebola,No,9,22810
Human,4,Ebola,No,10,19949
Human,4,Ebola,No,>10,225561
Human,4,Ebola,Yes,4,884
Human,4,Ebola,Yes,5,1160
Human,4,Ebola,Yes,6,1232
Human,4,Ebola,Yes,7,1207
Human,4,Ebola,Yes,8,1059
Human,4,Ebola,Yes,9,1017
Human,4,Ebola,Yes,10,915
Human,4,Ebola,Yes,>10,11448
Human,5,Ebola,No,4,3
Human,5,Ebola,No,5,8553
Human,5,Ebola,No,6,13664
Human,5,Ebola,No,7,15786
Human,5,Ebola,No,8,16215
Human,5,Ebola,No,9,15694
Human,5,Ebola,No,10,14742
Human,5,Ebola,No,>10,253385
Human,5,Ebola,Yes,5,186
Human,5,Ebola,Yes,6,338
Human,5,Ebola,Yes,7,480
Human,5,Ebola,Yes,8,474
Human,5,Ebola,Yes,9,566
Human,5,Ebola,Yes,10,527
Human,5,Ebola,Yes,>10,11886
Human,6,Ebola,No,5,1
Human,6,Ebola,No,6,2020
Human,6,Ebola,No,7,4190
Human,6,Ebola,No,8,5933
Human,6,Ebola,No,9,7000
Human,6,Ebola,No,10,7720
Human,6,Ebola,No,>10,232494
Human,6,Ebola,Yes,6,40
Human,6,Ebola,Yes,7,100
Human,6,Ebola,Yes,8,131
Human,6,Ebola,Yes,9,177
Human,6,Ebola,Yes,10,217
Human,6,Ebola,Yes,>10,10778
Human,7,Ebola,No,7,429
Human,7,Ebola,No,8,1189
Human,7,Ebola,No,9,1920
Human,7,Ebola,No,10,2670
Human,7,Ebola,No,>10,199232
Human,7,Ebola,Yes,7,4
Human,7,Ebola,Yes,8,22
Human,7,Ebola,Yes,9,36
Human,7,Ebola,Yes,10,52
Human,7,Ebola,Yes,>10,8998
Human,8,Ebola,No,8,93
Human,8,Ebola,No,9,246
Human,8,Ebola,No,10,520
Human,8,Ebola,No,>10,168234
Human,8,Ebola,Yes,8,2
Human,8,Ebola,Yes,9,7
Human,8,Ebola,Yes,10,5
Human,8,Ebola,Yes,>10,7049
Human,9,Ebola,No,9,13
Human,9,Ebola,No,10,39
Human,9,Ebola,No,>10,140342
Human,9,Ebola,Yes,>10,5778
Human,10,Ebola,No,10,2
Human,10,Ebola,No,>10,116113
Human,10,Ebola,Yes,>10,4524
Human,11,Ebola,No,>10,95249
Human,11,Ebola,Yes,>10,3627
Human,12,Ebola,No,>10,75702
Human,12,Ebola,Yes,>10,2869
Human,13,Ebola,No,>10,58342
Human,13,Ebola,Yes,>10,2341
Human,14,Ebola,No,>10,44198
Human,14,Ebola,Yes,>10,1881
Human,15,Ebola,No,>10,34131
Human,15,Ebola,Yes,>10,1594
Human,16,Ebola,No,>10,26328
Human,16,Ebola,Yes,>10,1412
Human,17,Ebola,No,>10,20225
Human,17,Ebola,Yes,>10,1181
Human,18,Ebola,No,>10,14728
Human,18,Ebola,Yes,>10,844
Human,19,Ebola,No,>10,11203
Human,19,Ebola,Yes,>10,757
Human,20,Ebola,No,>10,7818
Human,20,Ebola,Yes,>10,717
Human,21,Ebola,No,>10,3533
Human,21,Ebola,Yes,>10,426
Human,22,Ebola,No,>10,1262
Human,22,Ebola,Yes,>10,218
Human,23,Ebola,No,>10,329
Human,23,Ebola,Yes,>10,90
Human,24,Ebola,No,>10,46
Human,24,Ebola,Yes,>10,20
Human,1,HCV,No,1,3128207
Human,1,HCV,No,2,239432
Human,1,HCV,No,3,89464
Human,1,HCV,No,4,49931
Human,1,HCV,No,5,32667
Human,1,HCV,No,6,22810
Human,1,HCV,No,7,16616
Human,1,HCV,No,8,12313
Human,1,HCV,No,9,9337
Human,1,HCV,No,10,7349
Human,1,HCV,No,>10,38752
Human,1,HCV,Yes,1,66052
Human,1,HCV,Yes,2,8146
Human,1,HCV,Yes,3,2791
Human,1,HCV,Yes,4,1734
Human,1,HCV,Yes,5,1198
Human,1,HCV,Yes,6,953
Human,1,HCV,Yes,7,703
Human,1,HCV,Yes,8,508
Human,1,HCV,Yes,9,394
Human,1,HCV,Yes,10,308
Human,1,HCV,Yes,>10,1891
Human,2,HCV,No,1,60
Human,2,HCV,No,2,82509
Human,2,HCV,No,3,34962
Human,2,HCV,No,4,18958
Human,2,HCV,No,5,12055
Human,2,HCV,No,6,8105
Human,2,HCV,No,7,5807
Human,2,HCV,No,8,4431
Human,2,HCV,No,9,3283
Human,2,HCV,No,10,2596
Human,2,HCV,No,>10,21820
Human,2,HCV,Yes,2,4936
Human,2,HCV,Yes,3,2148
Human,2,HCV,Yes,4,1304
Human,2,HCV,Yes,5,724
Human,2,HCV,Yes,6,502
Human,2,HCV,Yes,7,371
Human,2,HCV,Yes,8,263
Human,2,HCV,Yes,9,238
Human,2,HCV,Yes,10,161
Human,2,HCV,Yes,>10,1279
Human,3,HCV,No,2,32
Human,3,HCV,No,3,19814
Human,3,HCV,No,4,15383
Human,3,HCV,No,5,11549
Human,3,HCV,No,6,8545
Human,3,HCV,No,7,6628
Human,3,HCV,No,8,5100
Human,3,HCV,No,9,4134
Human,3,HCV,No,10,3434
Human,3,HCV,No,>10,28736
Human,3,HCV,Yes,3,1128
Human,3,HCV,Yes,4,961
Human,3,HCV,Yes,5,769
Human,3,HCV,Yes,6,598
Human,3,HCV,Yes,7,484
Human,3,HCV,Yes,8,386
Human,3,HCV,Yes,9,301
Human,3,HCV,Yes,10,267
Human,3,HCV,Yes,>10,2019
Human,4,HCV,No,2,2
Human,4,HCV,No,3,16
Human,4,HCV,No,4,5595
Human,4,HCV,No,5,6531
Human,4,HCV,No,6,6095
Human,4,HCV,No,7,5403
Human,4,HCV,No,8,4727
Human,4,HCV,No,9,4097
Human,4,HCV,No,10,3588
Human,4,HCV,No,>10,38469
Human,4,HCV,Yes,4,298
Human,4,HCV,Yes,5,386
Human,4,HCV,Yes,6,354
Human,4,HCV,Yes,7,365
Human,4,HCV,Yes,8,341
Human,4,HCV,Yes,9,288
Human,4,HCV,Yes,10,252
Human,4,HCV,Yes,>10,2931
Human,5,HCV,No,5,1582
Human,5,HCV,No,6,2449
Human,5,HCV,No,7,2837
Human,5,HCV,No,8,2904
Human,5,HCV,No,9,2850
Human,5,HCV,No,10,2738
Human,5,HCV,No,>10,45332
Human,5,HCV,Yes,5,66
Human,5,HCV,Yes,6,130
Human,5,HCV,Yes,7,156
Human,5,HCV,Yes,8,139
Human,5,HCV,Yes,9,155
Human,5,HCV,Yes,10,168
Human,5,HCV,Yes,>10,3303
Human,6,HCV,No,5,1
Human,6,HCV,No,6,404
Human,6,HCV,No,7,742
Human,6,HCV,No,8,1036
Human,6,HCV,No,9,1280
Human,6,HCV,No,10,1350
Human,6,HCV,No,>10,47734
Human,6,HCV,Yes,6,16
Human,6,HCV,Yes,7,35
Human,6,HCV,Yes,8,44
Human,6,HCV,Yes,9,70
Human,6,HCV,Yes,10,71
Human,6,HCV,Yes,>10,3261
Human,7,HCV,No,7,66
Human,7,HCV,No,8,203
Human,7,HCV,No,9,365
Human,7,HCV,No,10,461
Human,7,HCV,No,>10,45903
Human,7,HCV,Yes,7,3
Human,7,HCV,Yes,8,11
Human,7,HCV,Yes,9,10
Human,7,HCV,Yes,10,26
Human,7,HCV,Yes,>10,2828
Human,8,HCV,No,8,20
Human,8,HCV,No,9,58
Human,8,HCV,No,10,103
Human,8,HCV,No,>10,42884
Human,8,HCV,Yes,9,4
Human,8,HCV,Yes,10,4
Human,8,HCV,Yes,>10,2523
Human,9,HCV,No,9,1
Human,9,HCV,No,10,6
Human,9,HCV,No,>10,40251
Human,9,HCV,Yes,>10,2254
Human,10,HCV,No,>10,37203
Human,10,HCV,Yes,>10,1977
Human,11,HCV,No,>10,34668
Human,11,HCV,Yes,>10,1736
Human,12,HCV,No,>10,32837
Human,12,HCV,Yes,>10,1555
Human,13,HCV,No,>10,30488
Human,13,HCV,Yes,>10,1375
Human,14,HCV,No,>10,27119
Human,14,HCV,Yes,>10,1143
Human,15,HCV,No,>10,23667
Human,15,HCV,Yes,>10,1030
Human,16,HCV,No,>10,20269
Human,16,HCV,Yes,>10,965
Human,17,HCV,No,>10,18043
Human,17,HCV,Yes,>10,1046
Human,18,HCV,No,>10,13910
Human,18,HCV,Yes,>10,787
Human,19,HCV,No,>10,11013
Human,19,HCV,Yes,>10,749
Human,20,HCV,No,>10,7788
Human,20,HCV,Yes,>10,717
Human,21,HCV,No,>10,3528
Human,21,HCV,Yes,>10,425
Human,22,HCV,No,>10,1262
Human,22,HCV,Yes,>10,218
Human,23,HCV,No,>10,329
Human,23,HCV,Yes,>10,90
Human,24,HCV,No,>10,46
Human,24,HCV,Yes,>10,20
Human,1,HIV,No,1,62984721
Human,1,HIV,No,2,6771338
Human,1,HIV,No,3,2519649
Human,1,HIV,No,4,1282618
Human,1,HIV,No,5,769724
Human,1,HIV,No,6,510073
Human,1,HIV,No,7,364101
Human,1,HIV,No,8,273619
Human,1,HIV,No,9,214579
Human,1,HIV,No,10,175193
