"Species","Disease_presence_antibody","Disease","Isotype","BSource","BType","n_unique_antibodies"
"Human",1,"AChR-MG","Bulk","PBMC","Memory-B-Cells",5464
"Human",2,"AChR-MG","Bulk","PBMC","Memory-B-Cells",2
"Human",1,"AChR-MG","Bulk","PBMC","Naive-B-Cells",10059
"Human",2,"AChR-MG","Bulk","PBMC","Naive-B-Cells",3
"Human",1,"AChR-MG","IGHA","PBMC","Memory-B-Cells",120606
"Human",2,"AChR-MG","IGHA","PBMC","Memory-B-Cells",30
"Human",1,"AChR-MG","IGHA","PBMC","Naive-B-Cells",13795
"Human",2,"AChR-MG","IGHA","PBMC","Naive-B-Cells",11
"Human",1,"AChR-MG","IGHD","PBMC","Memory-B-Cells",12758
"Human",2,"AChR-MG","IGHD","PBMC","Memory-B-Cells",21
"Human",1,"AChR-MG","IGHD","PBMC","Naive-B-Cells",105044
"Human",2,"AChR-MG","IGHD","PBMC","Naive-B-Cells",162
"Human",3,"AChR-MG","IGHD","PBMC","Naive-B-Cells",15
"Human",4,"AChR-MG","IGHD","PBMC","Naive-B-Cells",3
"Human",6,"AChR-MG","IGHD","PBMC","Naive-B-Cells",1
"Human",1,"AChR-MG","IGHE","PBMC","Memory-B-Cells",157
"Human",1,"AChR-MG","IGHE","PBMC","Naive-B-Cells",8
"Human",1,"AChR-MG","IGHG","PBMC","Memory-B-Cells",40001
"Human",2,"AChR-MG","IGHG","PBMC","Memory-B-Cells",15
"Human",1,"AChR-MG","IGHG","PBMC","Naive-B-Cells",6814
"Human",2,"AChR-MG","IGHG","PBMC","Naive-B-Cells",9
"Human",1,"AChR-MG","IGHM","PBMC","Memory-B-Cells",127391
"Human",2,"AChR-MG","IGHM","PBMC","Memory-B-Cells",71
"Human",1,"AChR-MG","IGHM","PBMC","Naive-B-Cells",377652
"Human",2,"AChR-MG","IGHM","PBMC","Naive-B-Cells",528
"Human",3,"AChR-MG","IGHM","PBMC","Naive-B-Cells",48
"Human",4,"AChR-MG","IGHM","PBMC","Naive-B-Cells",5
"Human",5,"AChR-MG","IGHM","PBMC","Naive-B-Cells",4
"Human",6,"AChR-MG","IGHM","PBMC","Naive-B-Cells",1
"Human",1,"Allergic-Rhinitis-In-Season","Bulk","PBMC/Nasal-Biopsy","Unsorted-B-Cells",1359
"Human",2,"Allergic-Rhinitis-In-Season","Bulk","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3
"Human",1,"Allergic-Rhinitis-In-Season","IGHA","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3163
"Human",2,"Allergic-Rhinitis-In-Season","IGHA","PBMC/Nasal-Biopsy","Unsorted-B-Cells",6
"Human",1,"Allergic-Rhinitis-In-Season","IGHE","PBMC/Nasal-Biopsy","Unsorted-B-Cells",294
"Human",2,"Allergic-Rhinitis-In-Season","IGHE","PBMC/Nasal-Biopsy","Unsorted-B-Cells",5
"Human",1,"Allergic-Rhinitis-In-Season","IGHG","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3907
"Human",2,"Allergic-Rhinitis-In-Season","IGHG","PBMC/Nasal-Biopsy","Unsorted-B-Cells",9
"Human",1,"Allergic-Rhinitis-In-Season","IGHM","PBMC/Nasal-Biopsy","Unsorted-B-Cells",3414
"Human",2,"Allergic-Rhinitis-In-Season","IGHM","PBMC/Nasal-Biopsy","Unsorted-B-Cells",9
"Human",1,"Allergic-Rhinitis-Out-Of-Season","Bulk","PBMC/Nasal-Biopsy","Unsorted-B-Cells",779
"Human",2,"Allergic-Rhinitis-Out-Of-Season","Bulk","PBMC/Nasal-Biopsy","Unsorted-B-Cells",6
"Human",1,"Allergic-Rhinitis-Out-Of-Season","IGHA","PBMC/Nasal-Biopsy","Unsorted-B-Cells",2562
"Human",2,"Allergic-Rhinitis-Out-Of-Season","IGHA","PBMC/Nasal-Biopsy","Unsorted-B-Cells",8
"Human",1,"Allergic-Rhinitis-Out-Of-Season","IGHE","PBMC/Nasal-Biopsy","Unsorted-B-Cells",363
"Human",2,"Allergic-Rhinitis-Out-Of-Season","IGHE","PBMC/Nasal-Biopsy","Unsorted-B-Cells",6
"Human",1,"Allergic-Rhinitis-Out-Of-Season","IGHG","PBMC/Nasal-Biopsy","Unsorted-B-Cells",2190
"Human",2,"Allergic-Rhinitis-Out-Of-Season","IGHG","PBMC/Nasal-Biopsy","Unsorted-B-Cells",7
"Human",1,"Allergic-Rhinitis-Out-Of-Season","IGHM","PBMC/Nasal-Biopsy","Unsorted-B-Cells",1440
"Human",2,"Allergic-Rhinitis-Out-Of-Season","IGHM","PBMC/Nasal-Biopsy","Unsorted-B-Cells",7
"Human",1,"Allergy/NoSIT","Bulk","Bone-Marrow","Unsorted-B-Cells",16080
"Human",1,"Allergy/NoSIT","Bulk","Nasal-Biopsy","Unsorted-B-Cells",113
"Human",1,"Allergy/NoSIT","Bulk","PBMC","Unsorted-B-Cells",114853
"Human",2,"Allergy/NoSIT","Bulk","PBMC","Unsorted-B-Cells",178
"Human",3,"Allergy/NoSIT","Bulk","PBMC","Unsorted-B-Cells",17
"Human",4,"Allergy/NoSIT","Bulk","PBMC","Unsorted-B-Cells",3
"Human",5,"Allergy/NoSIT","Bulk","PBMC","Unsorted-B-Cells",1
"Human",1,"Allergy/NoSIT","IGHA","Bone-Marrow","Unsorted-B-Cells",2006388
"Human",2,"Allergy/NoSIT","IGHA","Bone-Marrow","Unsorted-B-Cells",14
"Human",3,"Allergy/NoSIT","IGHA","Bone-Marrow","Unsorted-B-Cells",1
"Human",1,"Allergy/NoSIT","IGHA","Nasal-Biopsy","Unsorted-B-Cells",13710
"Human",2,"Allergy/NoSIT","IGHA","Nasal-Biopsy","Unsorted-B-Cells",3
"Human",1,"Allergy/NoSIT","IGHA","PBMC","Unsorted-B-Cells",1149409
"Human",2,"Allergy/NoSIT","IGHA","PBMC","Unsorted-B-Cells",36
"Human",3,"Allergy/NoSIT","IGHA","PBMC","Unsorted-B-Cells",2
"Human",4,"Allergy/NoSIT","IGHA","PBMC","Unsorted-B-Cells",1
"Human",1,"Allergy/NoSIT","IGHD","Bone-Marrow","Unsorted-B-Cells",111
"Human",1,"Allergy/NoSIT","IGHD","Nasal-Biopsy","Unsorted-B-Cells",8028
"Human",1,"Allergy/NoSIT","IGHD","PBMC","Unsorted-B-Cells",33452
"Human",2,"Allergy/NoSIT","IGHD","PBMC","Unsorted-B-Cells",169
"Human",3,"Allergy/NoSIT","IGHD","PBMC","Unsorted-B-Cells",30
"Human",4,"Allergy/NoSIT","IGHD","PBMC","Unsorted-B-Cells",9
"Human",5,"Allergy/NoSIT","IGHD","PBMC","Unsorted-B-Cells",3
"Human",1,"Allergy/NoSIT","IGHE","Bone-Marrow","Unsorted-B-Cells",731589
"Human",1,"Allergy/NoSIT","IGHE","Nasal-Biopsy","Unsorted-B-Cells",369
"Human",1,"Allergy/NoSIT","IGHE","PBMC","Unsorted-B-Cells",271618
"Human",1,"Allergy/NoSIT","IGHG","Bone-Marrow","Unsorted-B-Cells",2446455
"Human",2,"Allergy/NoSIT","IGHG","Bone-Marrow","Unsorted-B-Cells",16
"Human",3,"Allergy/NoSIT","IGHG","Bone-Marrow","Unsorted-B-Cells",1
"Human",4,"Allergy/NoSIT","IGHG","Bone-Marrow","Unsorted-B-Cells",1
"Human",1,"Allergy/NoSIT","IGHG","Nasal-Biopsy","Unsorted-B-Cells",8215
"Human",1,"Allergy/NoSIT","IGHG","PBMC","Unsorted-B-Cells",874350
"Human",2,"Allergy/NoSIT","IGHG","PBMC","Unsorted-B-Cells",29
"Human",3,"Allergy/NoSIT","IGHG","PBMC","Unsorted-B-Cells",5
"Human",4,"Allergy/NoSIT","IGHG","PBMC","Unsorted-B-Cells",2
"Human",5,"Allergy/NoSIT","IGHG","PBMC","Unsorted-B-Cells",1
"Human",1,"Allergy/NoSIT","IGHM","Bone-Marrow","Unsorted-B-Cells",2438635
"Human",2,"Allergy/NoSIT","IGHM","Bone-Marrow","Unsorted-B-Cells",4448
"Human",3,"Allergy/NoSIT","IGHM","Bone-Marrow","Unsorted-B-Cells",443
"Human",4,"Allergy/NoSIT","IGHM","Bone-Marrow","Unsorted-B-Cells",83
"Human",5,"Allergy/NoSIT","IGHM","Bone-Marrow","Unsorted-B-Cells",14
"Human",6,"Allergy/NoSIT","IGHM","Bone-Marrow","Unsorted-B-Cells",1
"Human",1,"Allergy/NoSIT","IGHM","Nasal-Biopsy","Unsorted-B-Cells",7504
"Human",2,"Allergy/NoSIT","IGHM","Nasal-Biopsy","Unsorted-B-Cells",2
"Human",1,"Allergy/NoSIT","IGHM","PBMC","Unsorted-B-Cells",2696252
"Human",2,"Allergy/NoSIT","IGHM","PBMC","Unsorted-B-Cells",6338
"Human",3,"Allergy/NoSIT","IGHM","PBMC","Unsorted-B-Cells",665
"Human",4,"Allergy/NoSIT","IGHM","PBMC","Unsorted-B-Cells",124
"Human",5,"Allergy/NoSIT","IGHM","PBMC","Unsorted-B-Cells",28
"Human",1,"Allergy/SIT","Bulk","Nasal-Biopsy","Unsorted-B-Cells",153
"Human",1,"Allergy/SIT","Bulk","PBMC","Unsorted-B-Cells",143487
"Human",2,"Allergy/SIT","Bulk","PBMC","Unsorted-B-Cells",193
"Human",3,"Allergy/SIT","Bulk","PBMC","Unsorted-B-Cells",34
"Human",4,"Allergy/SIT","Bulk","PBMC","Unsorted-B-Cells",7
"Human",5,"Allergy/SIT","Bulk","PBMC","Unsorted-B-Cells",6
"Human",1,"Allergy/SIT","IGHA","Nasal-Biopsy","Unsorted-B-Cells",14388
"Human",2,"Allergy/SIT","IGHA","Nasal-Biopsy","Unsorted-B-Cells",1
"Human",1,"Allergy/SIT","IGHA","PBMC","Unsorted-B-Cells",64189
"Human",2,"Allergy/SIT","IGHA","PBMC","Unsorted-B-Cells",11
"Human",3,"Allergy/SIT","IGHA","PBMC","Unsorted-B-Cells",1
"Human",1,"Allergy/SIT","IGHD","Nasal-Biopsy","Unsorted-B-Cells",4853
"Human",2,"Allergy/SIT","IGHD","Nasal-Biopsy","Unsorted-B-Cells",1
"Human",1,"Allergy/SIT","IGHD","PBMC","Unsorted-B-Cells",65512
"Human",2,"Allergy/SIT","IGHD","PBMC","Unsorted-B-Cells",386
"Human",3,"Allergy/SIT","IGHD","PBMC","Unsorted-B-Cells",75
"Human",4,"Allergy/SIT","IGHD","PBMC","Unsorted-B-Cells",18
"Human",5,"Allergy/SIT","IGHD","PBMC","Unsorted-B-Cells",6
"Human",6,"Allergy/SIT","IGHD","PBMC","Unsorted-B-Cells",1
"Human",1,"Allergy/SIT","IGHE","Nasal-Biopsy","Unsorted-B-Cells",939
"Human",1,"Allergy/SIT","IGHE","PBMC","Unsorted-B-Cells",15700
"Human",2,"Allergy/SIT","IGHE","PBMC","Unsorted-B-Cells",2
"Human",1,"Allergy/SIT","IGHG","Nasal-Biopsy","Unsorted-B-Cells",5544
"Human",2,"Allergy/SIT","IGHG","Nasal-Biopsy","Unsorted-B-Cells",2
"Human",1,"Allergy/SIT","IGHG","PBMC","Unsorted-B-Cells",30620
"Human",2,"Allergy/SIT","IGHG","PBMC","Unsorted-B-Cells",7
"Human",1,"Allergy/SIT","IGHM","Nasal-Biopsy","Unsorted-B-Cells",5301
"Human",2,"Allergy/SIT","IGHM","Nasal-Biopsy","Unsorted-B-Cells",6
"Human",1,"Allergy/SIT","IGHM","PBMC","Unsorted-B-Cells",55563
"Human",2,"Allergy/SIT","IGHM","PBMC","Unsorted-B-Cells",238
"Human",3,"Allergy/SIT","IGHM","PBMC","Unsorted-B-Cells",46
"Human",4,"Allergy/SIT","IGHM","PBMC","Unsorted-B-Cells",11
"Human",5,"Allergy/SIT","IGHM","PBMC","Unsorted-B-Cells",5
"Human",1,"Asthma","Bulk","Biopsy","Unsorted-B-Cells",5614
"Human",1,"Asthma","Bulk","PBMC","Unsorted-B-Cells",243
"Human",1,"Asthma","IGHA","Biopsy","Unsorted-B-Cells",493245
"Human",2,"Asthma","IGHA","Biopsy","Unsorted-B-Cells",1
"Human",1,"Asthma","IGHA","PBMC","Unsorted-B-Cells",72650
"Human",2,"Asthma","IGHA","PBMC","Unsorted-B-Cells",6
"Human",3,"Asthma","IGHA","PBMC","Unsorted-B-Cells",1
"Human",1,"Asthma","IGHD","Biopsy","Unsorted-B-Cells",224780
"Human",2,"Asthma","IGHD","Biopsy","Unsorted-B-Cells",10
"Human",1,"Asthma","IGHD","PBMC","Unsorted-B-Cells",117960
"Human",2,"Asthma","IGHD","PBMC","Unsorted-B-Cells",54
"Human",3,"Asthma","IGHD","PBMC","Unsorted-B-Cells",7
"Human",4,"Asthma","IGHD","PBMC","Unsorted-B-Cells",2
"Human",5,"Asthma","IGHD","PBMC","Unsorted-B-Cells",2
"Human",1,"Asthma","IGHE","Biopsy","Unsorted-B-Cells",101
"Human",1,"Asthma","IGHE","PBMC","Unsorted-B-Cells",691
"Human",1,"Asthma","IGHG","Biopsy","Unsorted-B-Cells",1162909
"Human",2,"Asthma","IGHG","Biopsy","Unsorted-B-Cells",3
"Human",1,"Asthma","IGHG","PBMC","Unsorted-B-Cells",220553
"Human",2,"Asthma","IGHG","PBMC","Unsorted-B-Cells",10
"Human",3,"Asthma","IGHG","PBMC","Unsorted-B-Cells",3
"Human",4,"Asthma","IGHG","PBMC","Unsorted-B-Cells",1
"Human",1,"Asthma","IGHM","Biopsy","Unsorted-B-Cells",448395
"Human",2,"Asthma","IGHM","Biopsy","Unsorted-B-Cells",13
"Human",3,"Asthma","IGHM","Biopsy","Unsorted-B-Cells",1
"Human",1,"Asthma","IGHM","PBMC","Unsorted-B-Cells",260985
"Human",2,"Asthma","IGHM","PBMC","Unsorted-B-Cells",123
"Human",3,"Asthma","IGHM","PBMC","Unsorted-B-Cells",11
"Human",4,"Asthma","IGHM","PBMC","Unsorted-B-Cells",5
"Human",5,"Asthma","IGHM","PBMC","Unsorted-B-Cells",1
"Human",1,"CLL","Bulk","PBMC","Unsorted-B-Cells",15400
"Human",2,"CLL","Bulk","PBMC","Unsorted-B-Cells",3
"Human",3,"CLL","Bulk","PBMC","Unsorted-B-Cells",1
"Human",1,"CLL","IGHA","PBMC","Unsorted-B-Cells",5
"Human",1,"CLL","IGHD","PBMC","Unsorted-B-Cells",1
"Human",1,"CLL","IGHG","PBMC","Unsorted-B-Cells",5
"Human",1,"CLL","IGHM","PBMC","Unsorted-B-Cells",2
"Human",1,"CMV","Bulk","PBMC","Memory-B-Cells",205
"Human",1,"CMV","Bulk","PBMC","Naive-B-Cells",89
"Human",1,"CMV","Bulk","PBMC","Plasmablast",84
"Human",1,"CMV","Bulk","PBMC","Unsorted-B-Cells",1319
"Human",1,"CMV","IGHA","PBMC","Memory-B-Cells",22695
"Human",1,"CMV","IGHA","PBMC","Naive-B-Cells",42
"Human",1,"CMV","IGHA","PBMC","Plasmablast",2332
"Human",1,"CMV","IGHA","PBMC","Unsorted-B-Cells",33671
"Human",2,"CMV","IGHA","PBMC","Unsorted-B-Cells",1
"Human",1,"CMV","IGHD","PBMC","Memory-B-Cells",33
"Human",1,"CMV","IGHD","PBMC","Naive-B-Cells",9482
"Human",2,"CMV","IGHD","PBMC","Naive-B-Cells",20
"Human",3,"CMV","IGHD","PBMC","Naive-B-Cells",4
"Human",1,"CMV","IGHD","PBMC","Plasmablast",2
"Human",1,"CMV","IGHD","PBMC","Unsorted-B-Cells",8351
"Human",2,"CMV","IGHD","PBMC","Unsorted-B-Cells",23
"Human",3,"CMV","IGHD","PBMC","Unsorted-B-Cells",1
"Human",5,"CMV","IGHD","PBMC","Unsorted-B-Cells",1
"Human",1,"CMV","IGHE","PBMC","Memory-B-Cells",1
"Human",1,"CMV","IGHE","PBMC","Unsorted-B-Cells",1
"Human",1,"CMV","IGHG","PBMC","Memory-B-Cells",14450
"Human",1,"CMV","IGHG","PBMC","Naive-B-Cells",136
"Human",1,"CMV","IGHG","PBMC","Plasmablast",2666
"Human",1,"CMV","IGHG","PBMC","Unsorted-B-Cells",15742
"Human",1,"CMV","IGHM","PBMC","Memory-B-Cells",14888
"Human",2,"CMV","IGHM","PBMC","Memory-B-Cells",3
"Human",1,"CMV","IGHM","PBMC","Naive-B-Cells",215112
"Human",2,"CMV","IGHM","PBMC","Naive-B-Cells",883
"Human",3,"CMV","IGHM","PBMC","Naive-B-Cells",107
"Human",4,"CMV","IGHM","PBMC","Naive-B-Cells",22
"Human",5,"CMV","IGHM","PBMC","Naive-B-Cells",4
"Human",6,"CMV","IGHM","PBMC","Naive-B-Cells",5
"Human",7,"CMV","IGHM","PBMC","Naive-B-Cells",1
"Human",1,"CMV","IGHM","PBMC","Plasmablast",108
"Human",1,"CMV","IGHM","PBMC","Unsorted-B-Cells",127092
"Human",2,"CMV","IGHM","PBMC","Unsorted-B-Cells",437
"Human",3,"CMV","IGHM","PBMC","Unsorted-B-Cells",46
"Human",4,"CMV","IGHM","PBMC","Unsorted-B-Cells",5
"Human",5,"CMV","IGHM","PBMC","Unsorted-B-Cells",3
"Human",1,"CMV/EBV","Bulk","Bone-Marrow","Unsorted-B-Cells",4356569
"Human",2,"CMV/EBV","Bulk","Bone-Marrow","Unsorted-B-Cells",1838
"Human",3,"CMV/EBV","Bulk","Bone-Marrow","Unsorted-B-Cells",228
"Human",4,"CMV/EBV","Bulk","Bone-Marrow","Unsorted-B-Cells",52
"Human",5,"CMV/EBV","Bulk","Bone-Marrow","Unsorted-B-Cells",14
"Human",6,"CMV/EBV","Bulk","Bone-Marrow","Unsorted-B-Cells",1
"Human",1,"CMV/EBV","Bulk","Colon","Unsorted-B-Cells",1868130
"Human",2,"CMV/EBV","Bulk","Colon","Unsorted-B-Cells",1085
"Human",3,"CMV/EBV","Bulk","Colon","Unsorted-B-Cells",40
"Human",4,"CMV/EBV","Bulk","Colon","Unsorted-B-Cells",8
"Human",5,"CMV/EBV","Bulk","Colon","Unsorted-B-Cells",2
"Human",1,"CMV/EBV","Bulk","Ileum","Unsorted-B-Cells",1539280
"Human",2,"CMV/EBV","Bulk","Ileum","Unsorted-B-Cells",352
"Human",3,"CMV/EBV","Bulk","Ileum","Unsorted-B-Cells",27
"Human",4,"CMV/EBV","Bulk","Ileum","Unsorted-B-Cells",6
"Human",5,"CMV/EBV","Bulk","Ileum","Unsorted-B-Cells",4
"Human",1,"CMV/EBV","Bulk","Jejunum","Unsorted-B-Cells",1816239
"Human",2,"CMV/EBV","Bulk","Jejunum","Unsorted-B-Cells",5427
"Human",1,"CMV/EBV","Bulk","Lung","Unsorted-B-Cells",2035656
"Human",2,"CMV/EBV","Bulk","Lung","Unsorted-B-Cells",7023
"Human",3,"CMV/EBV","Bulk","Lung","Unsorted-B-Cells",1
"Human",4,"CMV/EBV","Bulk","Lung","Unsorted-B-Cells",1
"Human",1,"CMV/EBV","Bulk","Mesenteric-Lymph-Node","Unsorted-B-Cells",3175224
"Human",2,"CMV/EBV","Bulk","Mesenteric-Lymph-Node","Unsorted-B-Cells",1599
"Human",3,"CMV/EBV","Bulk","Mesenteric-Lymph-Node","Unsorted-B-Cells",176
"Human",4,"CMV/EBV","Bulk","Mesenteric-Lymph-Node","Unsorted-B-Cells",53
"Human",5,"CMV/EBV","Bulk","Mesenteric-Lymph-Node","Unsorted-B-Cells",10
"Human",6,"CMV/EBV","Bulk","Mesenteric-Lymph-Node","Unsorted-B-Cells",1
"Human",1,"CMV/EBV","Bulk","PBMC","Unsorted-B-Cells",2293788
"Human",2,"CMV/EBV","Bulk","PBMC","Unsorted-B-Cells",831
"Human",3,"CMV/EBV","Bulk","PBMC","Unsorted-B-Cells",109
"Human",4,"CMV/EBV","Bulk","PBMC","Unsorted-B-Cells",17
"Human",5,"CMV/EBV","Bulk","PBMC","Unsorted-B-Cells",2
"Human",6,"CMV/EBV","Bulk","PBMC","Unsorted-B-Cells",1
"Human",1,"CMV/EBV","Bulk","Spleen","Unsorted-B-Cells",4408286
